match_id,leader,follower,model,won,score,opponent_score,turns,invalid_moves,avg_completion_time,created_at
aa5bd8b8-0ab9-465e-9764-28a45a358c33,gpt-4o-mini,randbot,gpt-4o-mini,True,66,27,9,0,625.875,2025-01-26 20:30:56.408798
3c27e986-9eb9-455a-b5ae-1da95459b198,gpt-4o-mini,randbot,gpt-4o-mini,True,67,14,6,0,635.4,2025-01-26 20:42:01.495526
986dcda4-95fc-40c6-a8d6-16ddd083361d,randbot,gpt-4o-mini,gpt-4o-mini,False,0,76,4,0,1123.0,2025-01-26 20:42:15.047881
dadf5f8a-9f12-4ce2-b419-8d45263dcccf,gpt-4o-mini,randbot,gpt-4o-mini,True,77,5,8,0,543.7142857142857,2025-01-26 20:42:24.426035
949dc1c8-ef29-4d51-b6b9-a70e4650d7b4,gpt-4o-mini,randbot,gpt-4o-mini,True,65,55,11,0,520.1,2025-01-26 20:42:36.523206
f03303dc-29fc-4090-8db3-be18e6cc6655,randbot,gpt-4o-mini,gpt-4o-mini,False,49,71,11,0,731.5,2025-01-26 20:42:54.445522
266ff9e2-85ec-4031-b7a0-e8a8992e8033,gpt-4o-mini,randbot,gpt-4o-mini,False,55,65,11,0,616.4,2025-01-26 20:43:25.445229
7014bdb4-4136-42b0-90e2-ed8e5198d0c0,randbot,gpt-4o-mini,gpt-4o-mini,True,65,55,11,0,628.5,2025-01-26 20:44:12.165086
3f1baec6-27fa-48b5-8501-81cbff230e8b,gpt-4o-mini,randbot,gpt-4o-mini,False,34,69,8,0,634.7142857142857,2025-01-26 20:44:23.950993
0bd424a3-3ac2-4cec-8c23-594c04a3df3d,gpt-4o-mini,randbot,gpt-4o-mini,True,73,5,7,0,1079.6666666666667,2025-01-26 20:44:34.558277
2f836be1-be75-4b74-87dd-528dd2a03a19,gpt-4o-mini,randbot,gpt-4o-mini,True,73,5,8,1,419.625,2025-01-26 20:44:54.958002
df7f8c2b-001d-435f-b4dd-a1840777305e,gpt-4o-mini,randbot,gpt-4o-mini,False,13,71,7,0,453.3333333333333,2025-01-26 20:45:25.923223
fc909fa9-1bb8-4487-b64c-1ec82a55a854,gpt-4o-mini,randbot,gpt-4o-mini,True,69,19,8,0,430.0,2025-01-26 20:45:33.248782
9921a5f7-ddcd-419c-9f18-bfa6a8f00ca9,randbot,gpt-4o-mini,gpt-4o-mini,False,65,77,9,0,553.375,2025-01-26 20:45:42.563733
114de080-a6b8-494e-a5e2-e849ed7642b4,gpt-4o-mini,randbot,gpt-4o-mini,False,36,70,10,0,444.55555555555554,2025-01-26 20:45:51.778901
16f18c7d-7af1-4389-8e12-3e37bc00e3a1,randbot,gpt-4o-mini,gpt-4o-mini,True,72,48,11,0,488.6,2025-01-26 20:46:01.934596
d131a61e-d3dc-4b5c-b3a6-c178f9fc1a22,randbot,gpt-4o-mini,gpt-4o-mini,True,68,28,8,0,434.2857142857143,2025-01-26 20:46:09.451455
75dd2ad5-7375-48a2-bf46-ff68ffe00f23,gpt-4o-mini,randbot,gpt-4o-mini,True,77,14,9,0,543.25,2025-01-26 20:46:18.873068
6bf08262-46fc-4089-9ee4-d628335eee11,randbot,gpt-4o-mini,gpt-4o-mini,False,41,66,10,0,490.22222222222223,2025-01-26 20:46:28.672639
baa2301c-e69a-43b5-aa44-b3eba0fef5ab,gpt-4o-mini,randbot,gpt-4o-mini,True,112,0,6,0,347.0,2025-01-26 20:46:33.853939
85723f62-01ac-4585-9e52-bcb85f94626b,gpt-4o-mini,randbot,gpt-4o-mini,True,76,7,6,0,469.4,2025-01-26 20:46:40.189276
63c30911-43fe-4338-86f7-dc20af3547da,o1-mini,randbot,o1-mini,True,100,61,9,0,15250.75,2025-01-26 20:49:46.612019
e903e9a6-edd7-4014-90c9-e045cc08aeeb,Llama-3.3-70B-Instruct,randbot,Llama-3.3-70B-Instruct,True,69,0,4,0,1283.6666666666667,2025-01-26 20:50:37.169821
f6e1d6f3-e6de-4796-a1c4-8dcbd27b9bda,o1-preview,randbot,o1-preview,True,74,0,5,0,26352.5,2025-01-26 20:52:43.702634
3d694b96-2fa8-4811-9772-e15d4dc386e9,o1-preview,randbot,o1-preview,True,68,0,3,0,24209.0,2025-01-26 20:55:35.512870
47ce083c-7d01-4b9e-86ee-95f770685131,randbot,o1-preview,o1-preview,True,95,0,4,1,26244.75,2025-01-26 20:57:23.957712
